Data,BTC,IBOV,SPX,SELIC,IPCA,USD_BRL
2022-09-30,4513.06990329949,253.8339100346021,175.42688239266755,,,
2022-10-31,4760.182294492543,267.6747404844291,189.43707209932944,,,
2022-11-30,3987.4321443913905,259.4832756632065,199.61986283289326,,,
2022-12-31,3843.1873851383307,253.82006920415225,187.84798526704202,,,
2023-01-31,5374.142456572729,261.8961937716263,199.44813519576857,,,
2023-02-28,5376.016801973291,242.05767012687426,194.24004697575648,,,
2023-03-31,6614.18206584123,235.0219146482122,201.04847384931017,,,
2023-04-30,6797.7359125522835,240.9042675893887,203.99229429413217,,,
2023-05-31,6321.817297393921,249.90772779700117,204.49867402900486,,,
2023-06-30,7078.39963075577,272.40369088811997,217.7353547751798,,,
2023-07-31,6788.748852756564,281.2987312572088,224.51540125881843,,,
2023-08-31,6022.633758360639,266.99423298731256,220.53779883320286,,,
2023-09-30,6263.349696384935,268.89273356401384,209.793336771788,,,
2023-10-31,8051.658016167052,261.00115340253745,205.18214453024126,,,
2023-11-30,8758.856882351387,293.7277970011534,223.48013814656466,,,
2023-12-31,9816.170042297657,309.5386389850058,233.36449283550436,,,
2024-01-31,9889.89096819514,294.69896193771626,237.0739865776045,,,
2024-02-29,14213.440600520851,297.6239907727797,249.33560503861813,,,
2024-03-31,16567.37528491931,295.51557093425606,257.06969129636985,,,
2024-04-30,14083.0248088093,290.482122260669,246.37171765143196,,,
2024-05-31,15675.009056392319,281.6562860438293,258.2027807526489,,,
2024-06-30,14557.152544093165,285.82929642445214,267.15461985208276,,,
2024-07-31,15007.943499735873,294.4682814302191,270.17916196148633,,,
2024-08-31,13695.870873387772,313.7347174163783,276.3486239452612,,,
2024-09-30,14708.396613494015,304.0738177623991,281.9300050716808,,,
2024-10-31,16307.610608655481,299.22260668973473,279.13981618203013,,,
2024-11-30,22400.47607103047,289.8915801614764,295.1348892698954,,,
2024-12-31,21699.10981209696,277.46943483275663,287.7594279392516,,,
2025-01-31,23783.761121324187,290.9688581314879,295.5336241925146,,,
2025-02-28,19595.791256518354,283.2733564013841,291.32460692084953,,,
2025-03-31,19172.142019824623,300.48442906574394,274.5604204884437,,,
2025-04-30,21879.827191772747,311.5732410611303,272.4669128370858,,,
2025-05-31,24302.395941148585,316.0945790080738,289.2301198115905,,,
2025-06-30,24882.385180503057,320.3114186851211,303.57791193431234,,,
2025-07-31,26885.062456326075,306.96885813148793,310.1554017461584,,,
2025-08-31,25138.18161534286,326.2329873125721,316.0689624363561,,,
2025-09-30,26489.742507859803,337.3402537485582,327.2336836049975,,,
2025-10-31,25444.62710876084,344.959630911188,334.65759226792045,,,
2025-11-30,20994.250702344398,366.94809688581313,335.09251935444644,,,
2025-12-31,21358.38176108149,378.9820501730104,334.93449218332876,,,
